,state,pop,decade
0,Georgia,563967,2010
1,Florida,14468197,2010
2,Puerto Rico,2525305,2010
3,Texas,6121490,2010
4,South Carolina,1241048,2010
5,North Carolina,1167212,2010
6,Louisiana,2247053,2010
7,Louisiana,2278779,2000
8,North Carolina,970198,2000
9,South Carolina,1002724,2000
10,Texas,5211014,2000
11,Puerto Rico,2654526,2000
12,Florida,12503955,2000
13,Georgia,490630,2000
14,Georgia,428344,1990
15,Florida,10242828,1990
16,Puerto Rico,2498417,1990
17,Texas,4395001,1990
18,South Carolina,851710,1990
19,North Carolina,828241,1990
20,Louisiana,2133846,1990
21,Louisiana,2117736,1980
22,North Carolina,695703,1980
23,South Carolina,704145,1980
24,Texas,3878849,1980
25,Puerto Rico,2301028,1980
26,Florida,7786319,1980
27,Georgia,363176,1980
28,Georgia,310431,1970
29,Florida,5459804,1970
30,Puerto Rico,1989663,1970
31,Texas,2953835,1970
32,South Carolina,546138,1970
33,North Carolina,593136,1970
34,Louisiana,1825082,1970
